paper_name,image_path,polymer_name,segment_index,raw_smiles,cleaned_smiles,canonical_smiles,status
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_1_img_2_0.jpg,Lower Polarity,1,CC1=CC=C2C(=C1)N=C(C3=C2C(=NC4=C3C=CC(=C4)C5=CC=C(C6=CC=C(C)S6)S5)O[R19a])O[R19a].CC.CC.CC.CC.CC.CC.CC.CC,CC,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_1_img_2_0.jpg,Higher Polarity,2,CC(C)(C)C1=CC=C(C2=CC=C(C3=CC4=C(C=C3)C5=C(C6=CC=C(C=C6N(C5=O)[R19a])C(C)(C)C)C(=O)N4[R])S2)S1,CC1=CC=C(C2=CC=C(C3=CC4=C(C=C3)C5=C(C6=CC=C(C=C6N(C5=O)[*a])C)C(=O)N4[*])S2)S1,,invalid
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_1_img_2_0.jpg,Lower Polarity,3,[Se],[Se],,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,(b) Polymer synthesis,1,C1=CC2=C(C=C1Br)N(C(=O)C3=C2C(=O)N(C4=CC(=CC=C43)Br)[R19a])[R19a].CI,CI,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(N-DBND-2T),2,CC1=CC=C2C(=C1)N(C(=O)C3=C2C(=O)N(C4=C3C=CC(=C4)C5=CC=C(C6=CC=C(C)S6)S5)[R19a])[R19a].CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC,CC,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(N-DBND-2T),3,C1=CC2=C(C=C1Br)N=C(C3=C2C(=NC4=CC(=CC=C43)Br)O[R17a])O[R19a].CI,CI,,chemical_filter_failed
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,(b) Polymer synthesis,4,C1=CC2=C(C=C1Br)NC(=O)C3=C2C(=O)NC4=CC(=CC=C43)Br.[I-],O=c1[nH]c2cc(Br)ccc2c2c(=O)[nH]c3cc(Br)ccc3c12,O=c1[nH]c2cc(Br)ccc2c2c(=O)[nH]c3cc(Br)ccc3c12,fragment_cleaned
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,(b) Polymer synthesis,5,C1=CC2=C(C=C1Br)N(C(=O)C3=C2C(=O)N(C4=CC(=CC=C43)Br)[R19a])[R19a],C1=CC2=C(C=C1Br)N(C(=O)C3=C2C(=O)N(C4=CC(=CC=C43)Br)[*a])[*a],,invalid
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,(b) Polymer synthesis,6,C1=C(C=C2C(=C1)C3([2H])C(=O)NC4=C(C=CC(=C4)Br)C3([2H])C(=O)N2)Br.[Al].[Al].II.[K].[K],[2H]C12C(=O)Nc3cc(Br)ccc3C1([2H])C(=O)Nc1cc(Br)ccc12,[2H]C12C(=O)Nc3cc(Br)ccc3C1([2H])C(=O)Nc1cc(Br)ccc12,fragment_cleaned
404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/404_n-alkylation-vs-o-alkylation-influence-on-the-performance-of-a-polymeric-field-effect-transistors-based-on-a/images_folder/page_2_img_1_0.jpg,P(O-DBND-2T),7,C1=CC2=C(C=C1Br)N=C(C3=C2C(=NC4=CC(=CC=C43)Br)O[R17f])O[R17f],C1=CC2=C(C=C1Br)N=C(C3=C2C(=NC4=CC(=CC=C43)Br)O[*f])O[*f],,invalid
