polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
PBDT–C–BT/50 wt % SWCNTs,BDT-based D–A copolymer (thiophene-benzothiadiazole-thiophene),carbazole segment,conjugated,N/A,improve electrical conductivity,Thermoelectric,electronic,N/A,N/A,44 kDa,N/A,1.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,50 wt % SWCNTs,ultrasonication and casting,chlorobenzene,chlorobenzene,N/A,N/A,strong interfacial interactions,501_polymers-12-01447-v2.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/501_polymers-12-01447-v2/501_polymers-12-01447-v2/pdf/501_polymers-12-01447-v2.txt,text_mining_GPT_extended
F4TCNQ-doped PBDT–C–BT/50 wt % SWCNTs,BDT-based D–A copolymer (thiophene-benzothiadiazole-thiophene),carbazole segment,conjugated,N/A,improve electrical conductivity,Thermoelectric,electronic,N/A,N/A,44 kDa,N/A,1.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,amorphous,N/A,N/A,F4TCNQ-doped; 50 wt % SWCNTs,dipping in F4TCNQ and casting,chlorobenzene/CH3CN,chlorobenzene,N/A,N/A,strong interfacial interactions,501_polymers-12-01447-v2.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/501_polymers-12-01447-v2/501_polymers-12-01447-v2/pdf/501_polymers-12-01447-v2.txt,text_mining_GPT_extended
PNT2Th2Se-OD,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,N/A,OFET,electronic,40−60 nm,100 μm,51.0 kDa,N/A,2.2,0.36 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,crystalline,3.49 Å,N/A,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,N/A,N/A,bottom-gate-top-contact OFET,edge-on crystalline orientation,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT2Th2Se-OD,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,N/A,PSC,electronic,ca. 250 nm,N/A,51.0 kDa,N/A,2.2,N/A,N/A,N/A,N/A,9.47%,20.69 mA cm−2,0.68 V,67%,crystalline,3.45 Å,N/A,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,N/A,N/A,N/A,ITO/ZnO/polymer:PC71BM/MoO3/Ag,face-on π−π stacking,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT2Se2Th-OD,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,N/A,OFET,electronic,40−60 nm,100 μm,39.2 kDa,N/A,2.9,0.10 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.57 Å,N/A,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,N/A,N/A,bottom-gate-top-contact OFET,edge-on orientation,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT2Se2Th-OD,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,N/A,PSC,electronic,ca. 250 nm,N/A,39.2 kDa,N/A,2.9,N/A,N/A,N/A,N/A,5.28%,15.18 mA cm−2,0.66 V,52.72%,N/A,N/A,N/A,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,N/A,N/A,N/A,ITO/ZnO/polymer:PC71BM/MoO3/Ag,N/A,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT4Se-OD,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,N/A,OFET,electronic,40−60 nm,100 μm,31.0 kDa,N/A,3.3,0.11 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.72 Å,N/A,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,N/A,N/A,bottom-gate-top-contact OFET,edge-on orientation,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT4Se-OD,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,N/A,PSC,electronic,ca. 250 nm,N/A,31.0 kDa,N/A,3.3,N/A,N/A,N/A,N/A,5.55%,15.96 mA cm−2,0.56 V,62.05%,N/A,N/A,N/A,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,N/A,N/A,N/A,ITO/ZnO/polymer:PC71BM/MoO3/Ag,N/A,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT2Th2Se-DT,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,OFET,electronic,40−60 nm,100 μm,64.0 kDa,N/A,2.6,0.21 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,semi-crystalline,3.67 Å,N/A,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,N/A,N/A,bottom-gate-top-contact OFET,N/A,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
PNT2Th2Se-DT,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,PSC,electronic,ca. 250 nm,N/A,64.0 kDa,N/A,2.6,N/A,N/A,N/A,N/A,8.41%,19.70 mA cm−2,0.66 V,64.70%,semi-crystalline,3.49 Å,N/A,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,N/A,N/A,N/A,ITO/ZnO/polymer:PC71BM/MoO3/Ag,face-on π−π stacking,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended
