paper_name,image_path,polymer_name,segment_index,raw_smiles,cleaned_smiles,canonical_smiles,status
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"Pdzdba3, T(o-tol)3",1,C1=CSC(=C1)C2=C3C(=C(C4=CC=CS4)C5=C2C(=O)N(C5=O)[R19a])C(=O)N(C3=O)[R19a],C1=CSC(=C1)C2=C3C(=C(C4=CC=CS4)C5=C2C(=O)N(C5=O)[*a])C(=O)N(C3=O)[*a],,invalid
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"1. KMnO4, PyridinelHzO",2,CC1=C(C(=C(C)C(=C1C)Br)C)Br,CC1=C(C(=C(C)C(=C1C)Br)C)Br,Cc1c(C)c(Br)c(C)c(C)c1Br,ok
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"Pdzdba3, T(o-tol)3",3,C12=C(C(=C3C(=C1Br)C(=O)N(C3=O)[R19a])Br)C(=O)N(C2=O)[R19a],C12=C(C(=C3C(=C1Br)C(=O)N(C3=O)[*a])Br)C(=O)N(C2=O)[*a],,invalid
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"Pdzdba3, T(o-tol)3",4,CCCC[Sn](CCCC)C1=CC=CS1,CCCC[Sn](CCCC)C1=CC=CS1,CCC[CH2][Sn]([CH2]CCC)[c]1cccs1,ok
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"1. KMnO4, PyridinelHzO",5,C1=C(C2=C3C(=C(C4=CC=C(Br)S4)C5=C2C(=O)N(C5=O)[R19a])C(=O)N(C3=O)[R19a])SC(=C1)Br,C1=C(C2=C3C(=C(C4=CC=C(Br)S4)C5=C2C(=O)N(C5=O)[*a])C(=O)N(C3=O)[*a])SC(=C1)Br,,invalid
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"1. KMnO4, PyridinelHzO",6,C12=C(C3=C(C(=C1C(=O)OC2=O)Br)C(=O)OC3=O)Br,C12=C(C3=C(C(=C1C(=O)OC2=O)Br)C(=O)OC3=O)Br,O=c1oc(=O)c2c(Br)c3c(=O)oc(=O)c3c(Br)c12,ok
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"1. KMnO4, PyridinelHzO",7,C1(=C(C(=C(C(=C1C(=O)O)Br)C(=O)O)C(=O)O)Br)C(=O)O,C1(=C(C(=C(C(=C1C(=O)O)Br)C(=O)O)C(=O)O)Br)C(=O)O,O=C(O)c1c(Br)c(C(=O)O)c(C(=O)O)c(Br)c1C(=O)O,ok
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_2_img_1_0.jpg,"1. KMnO4, PyridinelHzO",8,CC1=C(C)C=C(C)C(=C1)C,CC1=C(C)C=C(C)C(=C1)C,,chemical_filter_failed
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_3_img_2_0.jpg,"Pdz(dba)3, P(o-tol)3",1,C1=C(C2=C3C(=C(C4=CC=C(Br)S4)C5=C2C(=O)N(C5=O)[R19a])C(=O)N(C3=O)[R19a])SC(=C1)Br,C1=C(C2=C3C(=C(C4=CC=C(Br)S4)C5=C2C(=O)N(C5=O)[*a])C(=O)N(C3=O)[*a])SC(=C1)Br,,invalid
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_3_img_2_0.jpg,"Pdz(dba)3, P(o-tol)3",2,C12=C(C3=C(C(=C1C(=O)N(C2=O)[R19a])Br)C(=O)N(C3=O)[R19a])Br,C12=C(C3=C(C(=C1C(=O)N(C2=O)[*a])Br)C(=O)N(C3=O)[*a])Br,,invalid
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_3_img_2_0.jpg,"Pdz(dba)3, P(o-tol)3",3,C[Sn](C)(C)C1=CC2=C(C=C(S2)[Sn](C)(C)C)S1,C[Sn](C)(C)C1=CC2=C(C=C(S2)[Sn](C)(C)C)S1,[CH3][Sn]([CH3])([CH3])[c]1cc2s[c]([Sn]([CH3])([CH3])[CH3])cc2s1,ok
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_3_img_2_0.jpg,P3 R= CHzCH(CgHa)C10H21,4,CC1=CC2=C(C=C(C3=CC=C(C4=C5C(=C(C6=CC=C(C)S6)C7=C4C(=O)N(C7=O)[R19a])C(=O)N(C5=O)[R19a])S3)S2)S1,CC1=CC2=C(C=C(C3=CC=C(C4=C5C(=C(C6=CC=C(C)S6)C7=C4C(=O)N(C7=O)[*a])C(=O)N(C5=O)[*a])S3)S2)S1,,invalid
307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated,/cephfs/volumes/hpc_data_prj/ch_sce_mine/ab847f4f-6314-457c-b60c-0c12f4ce202e/MatAGen/outputs_example/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/307_Polymers for Advanced Techs - 2014 - Luo - Design and synthesis of pyromellitic diimide%E2%80%90based donor acceptor conjugated/images_folder/page_3_img_2_0.jpg,"Pdz(dba)3, P(o-tol)3",5,CC1=CC2=C(C=C(C3=C4C(=C(C)C5=C3C(=O)N(C5=O)[R19a])C(=O)N(C4=O)[R19a])S2)S1,CC1=CC2=C(C=C(C3=C4C(=C(C)C5=C3C(=O)N(C5=O)[*a])C(=O)N(C4=O)[*a])S2)S1,,invalid
