polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name
PTC8,thienyl-substituted benzodithiophene (BDT) donor and thiophene acceptor (non-carbonyl),n-C8H17 alkyl,alkyl,n-C8H17,tune solubility and intermolecular interactions,PSC,electronic,N/A,N/A,21.0 kDa,N/A,1.45,1.01 × 10−5 cm2V−1 s−1,3.75 × 10−7 cm2V−1 s−1,N/A,N/A,4.04%,11.57 mA cm−2,0.90 V,38.7%,N/A,N/A,N/A,"spin-coated from chloroform (1:1.2, no post-treatment)",spin-coating,chloroform,toluene,N/A,glass/ITO/PEDOT:PSS/active/PDINO/Al,N/A,320_1-s2.0-S0143720820316843-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/320_1-s2.0-S0143720820316843-main/320_1-s2.0-S0143720820316843-main/pdf/320_1-s2.0-S0143720820316843-main.txt,text_mining_GPT_extended
PTCO8,thienyl-substituted benzodithiophene (BDT) donor and alkylcarbonyl-substituted thiophene (TOC) acceptor,n-C8H17 alkylcarbonyl,alkylcarbonyl,n-C8H17,tune solubility and intermolecular interactions,PSC,electronic,N/A,N/A,37.7 kDa,N/A,1.57,1.07 × 10−5 cm2V−1 s−1,9.16 × 10−5 cm2V−1 s−1,N/A,N/A,5.91%,14.33 mA cm−2,0.99 V,41.5%,N/A,N/A,N/A,"spin-coated from chloroform (1:1.2, no post-treatment)",spin-coating,chloroform,toluene,N/A,glass/ITO/PEDOT:PSS/active/PDINO/Al,N/A,320_1-s2.0-S0143720820316843-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/320_1-s2.0-S0143720820316843-main/320_1-s2.0-S0143720820316843-main/pdf/320_1-s2.0-S0143720820316843-main.txt,text_mining_GPT_extended
PTCO1,thienyl-substituted benzodithiophene (BDT) donor and alkylcarbonyl-substituted thiophene (TOC) acceptor,CH3 alkylcarbonyl,alkylcarbonyl,CH3,tune solubility and intermolecular interactions,PSC,electronic,N/A,N/A,23.4 kDa,N/A,2.12,3.35 × 10−4 cm2V−1 s−1,5.93 × 10−4 cm2V−1 s−1,N/A,N/A,9.33%,16.91 mA cm−2,0.95 V,57.9%,N/A,N/A,N/A,"spin-coated from chloroform (1:1.2, no post-treatment)",spin-coating,chloroform,toluene,N/A,glass/ITO/PEDOT:PSS/active/PDINO/Al,obvious phase separation,320_1-s2.0-S0143720820316843-main.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/320_1-s2.0-S0143720820316843-main/320_1-s2.0-S0143720820316843-main/pdf/320_1-s2.0-S0143720820316843-main.txt,text_mining_GPT_extended
EH4P-Th,diketopyrrolopyrrole (DPP) with thiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,1.67 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated nonannealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,significantly coarse domains including some cavities,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-Th,diketopyrrolopyrrole (DPP) with thiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,3.69 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,enhanced interconnection of grains with larger crystalline size and decreased pinholes,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-Th,diketopyrrolopyrrole (DPP) with thiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,1.58 × 10−3 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-untreated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,slightly increased (010) π−π stacking distances,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-Th,diketopyrrolopyrrole (DPP) with thiophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,1.76 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated MeTHF 150 °C annealed,spin-coating,MeTHF,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,good saturation behavior,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-Se,diketopyrrolopyrrole (DPP) with selenophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,2.26 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated nonannealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,smooth and uniform surfaces and small grains,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-Se,diketopyrrolopyrrole (DPP) with selenophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,5.81 × 10−2 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-treated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,"grain growth, higher interconnection, and a tighter granular packing",388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
EH4P-Se,diketopyrrolopyrrole (DPP) with selenophene comonomer,phosphonate chain-end solubilizing groups (bis(2-ethylhexyl)(4-bromobutyl)phosphonate),phosphonate,2-ethylhexyl,solubility and polarity,OFET,electronic,N/A,N/A,N/A,N/A,N/A,2.71 × 10−3 cm2 V−1 s−1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,∼3.6 Å,25−26 Å,OTS-untreated 150 °C annealed,spin-coating,chloroform,anhydrous chlorobenzene,N/A,bottom-gate/top-contact,slightly increased (010) π−π stacking distances,388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors/pdf/388_usefulness-of-polar-and-bulky-phosphonate-chain-end-solubilizing-groups-in-polymeric-semiconductors.txt,text_mining_GPT_extended
