paper_id,polymer_name,raw_backbone,cleaned_backbone,preprocessed_for_opsin,punctuation_fixed,locant_augmented,diyl_appended,stage,parse_source,success,note,smiles,opsin_status,opsin_message,opsin_warnings,smiles_has_dot,smiles_dot_count,variant_kind,variant_step,opsin_eligible,opsin_input_backbone,ocr_fix_applied,ocr_fix_rule,ocr_fix_before,ocr_fix_after,raw_sidechain,cleaned_sidechain,template_expanded,sidechain_token_expanded,yl_appended,split_tokens,opsin_attempted,decoded_type,decoded_confidence,decoded_needs_review,decoded_components_json,opsin_candidate,opsin_success
501,pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt-based d-a thiophene-benzothiadiazole-thiophene,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_direct,,False,,,FAILURE,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),,,,direct,,True,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),True,fused_ring_prime_0_to_quote,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),,,,,,,,,,,,,
501,pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_repair,,False,drop_descriptors,,FAILURE,bdt- d-a  (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt- d-a  (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt- d-a  (thiophene-benzothiadiazole-thiophene),,,,repair,drop_descriptors,True,bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,,,,,,,,,,,,,,,,
501,pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_repair,,False,drop_substituted,,FAILURE,bdt- d-a  (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt- d-a  (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt- d-a  (thiophene-benzothiadiazole-thiophene),,,,repair,drop_substituted,True,bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,,,,,,,,,,,,,,,,
501,pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt- d-a (thiophene-benzothiadiazole-thiophene),bdt- d-a (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_repair,,False,tidy_punct,,FAILURE,bdt- d-a (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt- d-a (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt- d-a (thiophene-benzothiadiazole-thiophene),,,,repair,tidy_punct,True,bdt- d-a (thiophene-benzothiadiazole-thiophene),False,,,,,,,,,,,,,,,,
501,pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt-based d-a thiophene-benzothiadiazole-thiophene,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),False,False,False,fallback,TEXT_FALLBACK,False,no parse,,,,,,,,,True,,False,,,,,,,,,,,,,,,,
501,f4tcnq-doped pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt-based d-a thiophene-benzothiadiazole-thiophene,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_direct,,False,,,FAILURE,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),,,,direct,,True,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),True,fused_ring_prime_0_to_quote,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),,,,,,,,,,,,,
501,f4tcnq-doped pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_repair,,False,drop_descriptors,,FAILURE,bdt- d-a  (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt- d-a  (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt- d-a  (thiophene-benzothiadiazole-thiophene),,,,repair,drop_descriptors,True,bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,,,,,,,,,,,,,,,,
501,f4tcnq-doped pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_repair,,False,drop_substituted,,FAILURE,bdt- d-a  (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt- d-a  (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt- d-a  (thiophene-benzothiadiazole-thiophene),,,,repair,drop_substituted,True,bdt- d-a  (thiophene-benzothiadiazole-thiophene),False,,,,,,,,,,,,,,,,
501,f4tcnq-doped pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt- d-a (thiophene-benzothiadiazole-thiophene),bdt- d-a (thiophene-benzothiadiazole-thiophene),False,False,False,opsin_repair,,False,tidy_punct,,FAILURE,bdt- d-a (thiophene-benzothiadiazole-thiophene) is unparsable due to the following being uninterpretable: bdt- d-a (thiophene-benzothiadiazole-thiophene) The following was not parseable: bdt- d-a (thiophene-benzothiadiazole-thiophene),,,,repair,tidy_punct,True,bdt- d-a (thiophene-benzothiadiazole-thiophene),False,,,,,,,,,,,,,,,,
501,f4tcnq-doped pbdt–c–bt/50 wt % swcnts,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),bdt-based d-a thiophene-benzothiadiazole-thiophene,bdt-based d-a copolymer (thiophene-benzothiadiazole-thiophene),False,False,False,fallback,TEXT_FALLBACK,False,no parse,,,,,,,,,True,,False,,,,,,,,,,,,,,,,
