polymer_name,backbone,side_chain,side_chain_type,side_chain_length,side_chain_design_intent,device_type,transport_regime,film_thickness,channel_length,molecular_weight_mn,molecular_weight_mw,dispersity,mobility_h,mobility_e,capacitance,uc_star,pce,jsc,voc,ff,crystallinity,pi_pi_spacing,lamellar_spacing,experiment_condition,processing_method,processing_solvent,synthesis_solvent,electrolyte,measurement_method,notes,_source_file,_source_path,_config_name,backbone_name_text,sidechain_name_text,paper_id,confidence_text,paper_name,paper_key_display,paper_id_display,polymer_name_norm,confidence_text_norm,backbone_smiles_text,parse_source,parse_confidence,sidechain_smiles_list_text,sidechain_parse_source,sidechain_cleaned_name,sidechain_parse_success,sidechain_smiles_text,repeat_unit_smiles_full,backbone_smiles,sidechain_smiles_list,source_priority,image_candidate_smiles,matching_decision,candidate_score,match_mode,confidence,final_confidence,decision_note,needs_manual_review
pbdt–c–bt/50 wt % swcnts,BDT-based D–A copolymer (thiophene-benzothiadiazole-thiophene),carbazole segment,conjugated,,improve electrical conductivity,Thermoelectric,electronic,,,44 kDa,,1.57,,,,,,,,,amorphous,,,50 wt % SWCNTs,ultrasonication and casting,chlorobenzene,chlorobenzene,,,strong interfacial interactions,501_polymers-12-01447-v2.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/501_polymers-12-01447-v2/501_polymers-12-01447-v2/pdf/501_polymers-12-01447-v2.txt,text_mining_GPT_extended,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),carbazolesegment,501,,,501_polymers-12-01447-v2.txt,501,pbdt–c–bt/50 wt % swcnts,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,carbazolesethoxyethylment-yl,False,,,,[],unknown,,no_image_match,,no_match,low,0.5,text-derived only; repeat missing; no_image_match,1
f4tcnq-doped pbdt–c–bt/50 wt % swcnts,BDT-based D–A copolymer (thiophene-benzothiadiazole-thiophene),carbazole segment,conjugated,,improve electrical conductivity,Thermoelectric,electronic,,,44 kDa,,1.57,,,,,,,,,amorphous,,,F4TCNQ-doped; 50 wt % SWCNTs,dipping in F4TCNQ and casting,chlorobenzene/CH3CN,chlorobenzene,,,strong interfacial interactions,501_polymers-12-01447-v2.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/501_polymers-12-01447-v2/501_polymers-12-01447-v2/pdf/501_polymers-12-01447-v2.txt,text_mining_GPT_extended,bdt-based d–a copolymer (thiophene-benzothiadiazole-thiophene),carbazolesegment,501,,,501_polymers-12-01447-v2.txt,501,f4tcnq-doped pbdt–c–bt/50 wt % swcnts,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,carbazolesethoxyethylment-yl,False,,,,[],unknown,,no_image_match,,no_match,low,0.5,text-derived only; repeat missing; no_image_match,1
pnt2th2se-od,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,,OFET,electronic,40−60 nm,100 μm,51.0 kDa,,2.2,0.36 cm2 V−1 s−1,,,,,,,,crystalline,3.49 Å,,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,,,bottom-gate-top-contact OFET,edge-on crystalline orientation,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c8doc10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt2th2se-od,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-octyldomethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt2th2se-od,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,,PSC,electronic,ca. 250 nm,,51.0 kDa,,2.2,,,,,9.47%,20.69 mA cm−2,0.68 V,67%,crystalline,3.45 Å,,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,,,,ITO/ZnO/polymer:PC71BM/MoO3/Ag,face-on π−π stacking,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c8doc10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt2th2se-od,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-octyldomethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt2se2th-od,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,,OFET,electronic,40−60 nm,100 μm,39.2 kDa,,2.9,0.10 cm2 V−1 s−1,,,,,,,,,3.57 Å,,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,,,bottom-gate-top-contact OFET,edge-on orientation,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c8doc10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt2se2th-od,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-octyldomethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt2se2th-od,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,,PSC,electronic,ca. 250 nm,,39.2 kDa,,2.9,,,,,5.28%,15.18 mA cm−2,0.66 V,52.72%,,,,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,,,,ITO/ZnO/polymer:PC71BM/MoO3/Ag,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c8doc10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt2se2th-od,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-octyldomethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt4se-od,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,,OFET,electronic,40−60 nm,100 μm,31.0 kDa,,3.3,0.11 cm2 V−1 s−1,,,,,,,,,3.72 Å,,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,,,bottom-gate-top-contact OFET,edge-on orientation,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c8doc10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt4se-od,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-octyldomethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt4se-od,naphthobisthiadiazole-based D−A copolymer,2-octyldodecyl,alkyl,20-carbon,,PSC,electronic,ca. 250 nm,,31.0 kDa,,3.3,,,,,5.55%,15.96 mA cm−2,0.56 V,62.05%,,,,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,,,,ITO/ZnO/polymer:PC71BM/MoO3/Ag,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c8doc10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt4se-od,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-octyldomethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt2th2se-dt,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,OFET,electronic,40−60 nm,100 μm,64.0 kDa,,2.6,0.21 cm2 V−1 s−1,,,,,,,,semi-crystalline,3.67 Å,,thermal annealing 160 °C 30 min,spin-coating (1000 rpm),hot chlorobenzene,,,bottom-gate-top-contact OFET,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c10tetrac10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt2th2se-dt,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-methyl-0-tetramethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
pnt2th2se-dt,naphthobisthiadiazole-based D−A copolymer,2-decyltetradecyl,alkyl,24-carbon,impart better solubility,PSC,electronic,ca. 250 nm,,64.0 kDa,,2.6,,,,,8.41%,19.70 mA cm−2,0.66 V,64.70%,semi-crystalline,3.49 Å,,polymer:PC71BM 1:2; 5 vol% DPE; thermal anneal 100 °C 10 min,spin-coating,,,,ITO/ZnO/polymer:PC71BM/MoO3/Ag,face-on π−π stacking,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,scratch/prj/ch_sce_mine/MatAGen/outputs_example/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and/pdf/414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,text_mining_GPT_extended,naphthobisthiadiazole-based d−a copolymer,2-c10tetrac10,414,,,414_naphthobisthiadiazole-based-selenophene-incorporated-quarterchalcogenophene-copolymers-for-field-effect-transistors-and.txt,414,pnt2th2se-dt,unknown,,TEXT_FALLBACK,low,[],NON_OPSIN_COMPATIBLE,2-methyl-0-tetramethyl-0-yl,False,,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,,[],image_pool,CCOCCOCCOCCOCCNC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[CH]C(C)C,no_image_match;image_pool_match,2.02,paper_only,medium,0.7,image candidate selected; no_image_match;image_pool_match,0
